label,path,split,is_query,is_gallery
0,data/train/images/000000/0.jpg,train,,
0,data/train/images/000000/1.jpg,train,,
0,data/train/images/000000/2.jpg,train,,
0,data/train/images/000000/3.jpg,train,,
0,data/train/images/000000/4.jpg,train,,
0,data/train/images/000000/5.jpg,train,,
1,data/train/images/000001/0.jpg,train,,
1,data/train/images/000001/1.jpg,train,,
1,data/train/images/000001/2.jpg,train,,
1,data/train/images/000001/3.jpg,train,,
1,data/train/images/000001/4.jpg,train,,
1,data/train/images/000001/5.jpg,train,,
1,data/train/images/000001/6.jpg,train,,
2,data/train/images/000002/0.jpg,train,,
2,data/train/images/000002/1.jpg,train,,
2,data/train/images/000002/2.jpg,train,,
2,data/train/images/000002/3.jpg,train,,
2,data/train/images/000002/4.jpg,train,,
2,data/train/images/000002/5.jpg,train,,
2,data/train/images/000002/6.jpg,train,,
3,data/train/images/000003/0.jpg,train,,
3,data/train/images/000003/1.jpg,train,,
3,data/train/images/000003/2.jpg,train,,
3,data/train/images/000003/3.jpg,train,,
3,data/train/images/000003/4.jpg,train,,
3,data/train/images/000003/5.jpg,train,,
3,data/train/images/000003/6.jpg,train,,
4,data/train/images/000004/0.jpg,train,,
4,data/train/images/000004/1.jpg,train,,
4,data/train/images/000004/2.jpg,train,,
4,data/train/images/000004/3.jpg,train,,
4,data/train/images/000004/4.jpg,train,,
4,data/train/images/000004/5.jpg,train,,
5,data/train/images/000005/0.jpg,train,,
5,data/train/images/000005/1.jpg,train,,
5,data/train/images/000005/2.jpg,train,,
5,data/train/images/000005/3.jpg,train,,
5,data/train/images/000005/4.jpg,train,,
5,data/train/images/000005/5.jpg,train,,
5,data/train/images/000005/6.jpg,train,,
6,data/train/images/000006/0.jpg,train,,
6,data/train/images/000006/1.jpg,train,,
6,data/train/images/000006/2.jpg,train,,
6,data/train/images/000006/3.jpg,train,,
6,data/train/images/000006/4.jpg,train,,
6,data/train/images/000006/5.jpg,train,,
6,data/train/images/000006/6.jpg,train,,
7,data/train/images/000007/0.jpg,train,,
7,data/train/images/000007/1.jpg,train,,
7,data/train/images/000007/2.jpg,train,,
7,data/train/images/000007/3.jpg,train,,
7,data/train/images/000007/4.jpg,train,,
7,data/train/images/000007/5.jpg,train,,
7,data/train/images/000007/6.jpg,train,,
8,data/train/images/000008/0.jpg,train,,
8,data/train/images/000008/1.jpg,train,,
8,data/train/images/000008/2.jpg,train,,
8,data/train/images/000008/3.jpg,train,,
8,data/train/images/000008/4.jpg,train,,
8,data/train/images/000008/5.jpg,train,,
8,data/train/images/000008/6.jpg,train,,
9,data/train/images/000009/0.jpg,train,,
9,data/train/images/000009/1.jpg,train,,
9,data/train/images/000009/2.jpg,train,,
9,data/train/images/000009/3.jpg,train,,
9,data/train/images/000009/4.jpg,train,,
9,data/train/images/000009/5.jpg,train,,
9,data/train/images/000009/6.jpg,train,,
10,data/train/images/000010/0.jpg,train,,
10,data/train/images/000010/1.jpg,train,,
10,data/train/images/000010/2.jpg,train,,
10,data/train/images/000010/3.jpg,train,,
10,data/train/images/000010/4.jpg,train,,
10,data/train/images/000010/5.jpg,train,,
10,data/train/images/000010/6.jpg,train,,
11,data/train/images/000011/0.jpg,train,,
11,data/train/images/000011/1.jpg,train,,
11,data/train/images/000011/2.jpg,train,,
11,data/train/images/000011/3.jpg,train,,
11,data/train/images/000011/4.jpg,train,,
11,data/train/images/000011/5.jpg,train,,
12,data/train/images/000012/0.jpg,train,,
12,data/train/images/000012/1.jpg,train,,
12,data/train/images/000012/2.jpg,train,,
12,data/train/images/000012/3.jpg,train,,
12,data/train/images/000012/4.jpg,train,,
12,data/train/images/000012/5.jpg,train,,
12,data/train/images/000012/6.jpg,train,,
13,data/train/images/000013/0.jpg,train,,
13,data/train/images/000013/1.jpg,train,,
13,data/train/images/000013/2.jpg,train,,
13,data/train/images/000013/3.jpg,train,,
13,data/train/images/000013/4.jpg,train,,
13,data/train/images/000013/5.jpg,train,,
13,data/train/images/000013/6.jpg,train,,
14,data/train/images/000014/0.jpg,train,,
14,data/train/images/000014/1.jpg,train,,
14,data/train/images/000014/2.jpg,train,,
14,data/train/images/000014/3.jpg,train,,
14,data/train/images/000014/4.jpg,train,,
14,data/train/images/000014/5.jpg,train,,
14,data/train/images/000014/6.jpg,train,,
15,data/train/images/000015/0.jpg,train,,
15,data/train/images/000015/1.jpg,train,,
15,data/train/images/000015/2.jpg,train,,
15,data/train/images/000015/3.jpg,train,,
15,data/train/images/000015/4.jpg,train,,
15,data/train/images/000015/5.jpg,train,,
15,data/train/images/000015/6.jpg,train,,
16,data/train/images/000016/0.jpg,train,,
16,data/train/images/000016/1.jpg,train,,
16,data/train/images/000016/2.jpg,train,,
16,data/train/images/000016/3.jpg,train,,
16,data/train/images/000016/4.jpg,train,,
16,data/train/images/000016/5.jpg,train,,
16,data/train/images/000016/6.jpg,train,,
17,data/train/images/000017/0.jpg,train,,
17,data/train/images/000017/1.jpg,train,,
17,data/train/images/000017/2.jpg,train,,
17,data/train/images/000017/3.jpg,train,,
17,data/train/images/000017/4.jpg,train,,
17,data/train/images/000017/5.jpg,train,,
17,data/train/images/000017/6.jpg,train,,
18,data/train/images/000018/0.jpg,train,,
18,data/train/images/000018/1.jpg,train,,
18,data/train/images/000018/2.jpg,train,,
18,data/train/images/000018/3.jpg,train,,
18,data/train/images/000018/4.jpg,train,,
18,data/train/images/000018/5.jpg,train,,
18,data/train/images/000018/6.jpg,train,,
19,data/train/images/000019/0.jpg,train,,
19,data/train/images/000019/1.jpg,train,,
19,data/train/images/000019/2.jpg,train,,
19,data/train/images/000019/3.jpg,train,,
19,data/train/images/000019/4.jpg,train,,
19,data/train/images/000019/5.jpg,train,,
19,data/train/images/000019/6.jpg,train,,
20,data/train/images/000020/0.jpg,train,,
20,data/train/images/000020/1.jpg,train,,
20,data/train/images/000020/2.jpg,train,,
20,data/train/images/000020/3.jpg,train,,
20,data/train/images/000020/4.jpg,train,,
20,data/train/images/000020/5.jpg,train,,
21,data/train/images/000021/0.jpg,train,,
21,data/train/images/000021/1.jpg,train,,
21,data/train/images/000021/2.jpg,train,,
21,data/train/images/000021/3.jpg,train,,
21,data/train/images/000021/4.jpg,train,,
21,data/train/images/000021/5.jpg,train,,
22,data/train/images/000022/0.jpg,train,,
22,data/train/images/000022/1.jpg,train,,
22,data/train/images/000022/2.jpg,train,,
22,data/train/images/000022/3.jpg,train,,
22,data/train/images/000022/4.jpg,train,,
22,data/train/images/000022/5.jpg,train,,
22,data/train/images/000022/6.jpg,train,,
23,data/train/images/000023/0.jpg,train,,
23,data/train/images/000023/1.jpg,train,,
23,data/train/images/000023/2.jpg,train,,
23,data/train/images/000023/3.jpg,train,,
23,data/train/images/000023/4.jpg,train,,
23,data/train/images/000023/5.jpg,train,,
23,data/train/images/000023/6.jpg,train,,
24,data/train/images/000024/0.jpg,train,,
24,data/train/images/000024/1.jpg,train,,
24,data/train/images/000024/2.jpg,train,,
24,data/train/images/000024/3.jpg,train,,
24,data/train/images/000024/4.jpg,train,,
24,data/train/images/000024/5.jpg,train,,
24,data/train/images/000024/6.jpg,train,,
25,data/train/images/000025/0.jpg,train,,
25,data/train/images/000025/1.jpg,train,,
25,data/train/images/000025/2.jpg,train,,
25,data/train/images/000025/3.jpg,train,,
25,data/train/images/000025/4.jpg,train,,
25,data/train/images/000025/5.jpg,train,,
26,data/train/images/000026/0.jpg,train,,
26,data/train/images/000026/1.jpg,train,,
26,data/train/images/000026/2.jpg,train,,
26,data/train/images/000026/3.jpg,train,,
26,data/train/images/000026/4.jpg,train,,
26,data/train/images/000026/5.jpg,train,,
26,data/train/images/000026/6.jpg,train,,
27,data/train/images/000027/0.jpg,train,,
27,data/train/images/000027/1.jpg,train,,
27,data/train/images/000027/2.jpg,train,,
27,data/train/images/000027/3.jpg,train,,
27,data/train/images/000027/4.jpg,train,,
27,data/train/images/000027/5.jpg,train,,
27,data/train/images/000027/6.jpg,train,,
28,data/train/images/000028/0.jpg,train,,
28,data/train/images/000028/1.jpg,train,,
28,data/train/images/000028/2.jpg,train,,
28,data/train/images/000028/3.jpg,train,,
28,data/train/images/000028/4.jpg,train,,
28,data/train/images/000028/5.jpg,train,,
29,data/train/images/000029/0.jpg,train,,
29,data/train/images/000029/1.jpg,train,,
29,data/train/images/000029/2.jpg,train,,
29,data/train/images/000029/3.jpg,train,,
29,data/train/images/000029/4.jpg,train,,
29,data/train/images/000029/5.jpg,train,,
29,data/train/images/000029/6.jpg,train,,
30,data/train/images/000030/0.jpg,train,,
